,Demanda,Produccion
2020-02-23,326824,281290
2020-02-24,314394,274931
2020-02-25,308539,261047
2020-02-26,313477,282819
2020-02-27,338249,294075
2020-02-28,332861,286547
2020-02-29,332841,277541
2020-03-01,322424,263598
2020-03-02,322338,280068
2020-03-03,325827,281567
2020-03-04,324192,269232
2020-03-05,319316,268395
2020-03-06,303106,262100
2020-03-07,283431,252788
2020-03-08,296015,260189
2020-03-09,296197,250261
2020-03-10,281667,246367
2020-03-11,268883,240230
2020-03-12,259847,244140
2020-03-13,259438,237582
2020-03-14,255711,231986
2020-03-15,266518,246917
2020-03-16,265376,242067
2020-03-17,263134,240888
2020-03-18,259462,221747
2020-03-19,257511,246293
2020-03-20,268001,247767
2020-03-21,270882,240546
2020-03-22,274403,258818
2020-03-23,289621,258563
2020-03-24,282041,249028
2020-03-25,272371,243796
2020-03-26,264713,240695
2020-03-27,260911,239811
2020-03-28,260671,233967
2020-03-29,258115,241716
2020-03-30,262765,243334
2020-03-31,267437,243992
2020-04-01,262326,225616
2020-04-02,265847,240549
2020-04-03,260356,242132
2020-04-04,260415,243313
2020-04-05,260290,244731
2020-04-06,261459,243096
2020-04-07,262692,245546
2020-04-08,269437,248082
2020-04-09,272344,260723
2020-04-10,282602,265128
2020-04-11,288420,259920
2020-04-12,284245,260051
2020-04-13,277975,255569
2020-04-14,275214,254335
2020-04-15,272721,259313
2020-04-16,270850,263101
2020-04-17,274349,271890
2020-04-18,282000,263906
2020-04-19,283465,262667
2020-04-20,279172,275184
2020-04-21,288504,288817
2020-04-22,309798,299923
2020-04-23,324502,305686
2020-04-24,342249,317642
2020-04-25,352359,320796
2020-04-26,371136,325099
2020-04-27,344921,304380
2020-04-28,325709,300122
2020-04-29,325771,259414
2020-04-30,316859,274876
2020-05-01,320559,299753
2020-05-02,338722,323765
2020-05-03,346343,331537
2020-05-04,362823,332617
2020-05-05,363177,341441
2020-05-06,383953,329452
2020-05-07,358520,333472
2020-05-08,367808,335388
2020-05-09,370651,344372
2020-05-10,395256,350844
2020-05-11,384026,341921
2020-05-12,383447,340279
2020-05-13,384240,339543
2020-05-14,393316,349187
2020-05-15,410033,355599
2020-05-16,421213,353770
2020-05-17,432094,352330
2020-05-18,441610,361348
2020-05-19,461103,353863
2020-05-20,463750,360599
2020-05-21,467558,368599
2020-05-22,476321,376146
2020-05-23,484073,382274
2020-05-24,476937,384518
2020-05-25,464403,379281
2020-05-26,424787,359393
2020-05-27,384640,367812
2020-05-28,443966,375027
2020-05-29,463634,382754
2020-05-30,460859,389561
2020-05-31,437834,381214
2020-06-01,441249,377387
2020-06-02,466552,378576
2020-06-03,488619,383079
2020-06-04,484213,387906
2020-06-05,475764,390500
2020-06-06,486520,388406
2020-06-07,490518,387738
2020-06-08,492177,378392
2020-06-09,496910,391420
2020-06-10,473990,372383
2020-06-11,497517,389296
2020-06-12,514557,391956
2020-06-13,524632,392438
2020-06-14,495316,392936
2020-06-15,498784,390929
2020-06-16,487816,380035
2020-06-17,475090,377050
2020-06-18,470255,385836
2020-06-19,483016,387194
2020-06-20,503938,393222
2020-06-21,507057,393152
2020-06-22,499682,393667
2020-06-23,490915,394257
2020-06-24,519502,398693
2020-06-25,517098,399899
2020-06-26,516797,395302
2020-06-27,517278,384903
2020-06-28,522094,383176
2020-06-29,527916,383591
2020-06-30,540026,384239
