Produccion,Hours,Demanda
12966,22,17253
12748,23,16676
12097,24,16010
10962,1,12690
10172,2,11807
9719,3,11246
9620,4,11591
10345,5,12165
11406,6,13517
12458,7,14556
13040,8,16028
13039,9,16098
13049,10,16358
13191,11,16597
13116,12,16990
13293,13,16765
13236,14,16747
12893,15,16714
12608,16,16296
12930,17,17940
13151,18,18317
13268,19,18807
13091,20,18115
13067,21,17423
12913,22,16942
12653,23,16374
12305,24,15724
10956,1,12677
10156,2,11818
9728,3,11246
9679,4,11569
10475,5,12155
11444,6,13456
12143,7,14436
12658,8,15870
12897,9,15966
12627,10,16264
12493,11,16462
12228,12,16856
12355,13,16639
12324,14,16619
12311,15,16619
12187,16,16214
12460,17,17848
12879,18,18202
12785,19,18713
12771,20,18025
12402,21,17338
12239,22,16856
11968,23,16292
11739,24,15645
10502,1,12430
9790,2,11608
9444,3,11128
9498,4,11431
10246,5,12016
11011,6,13252
11303,7,14248
11715,8,15755
11640,9,15851
11502,10,16143
11472,11,16339
11418,12,16731
11693,13,16516
11752,14,16497
11934,15,16497
12050,16,16094
12178,17,17714
12235,18,18067
12139,19,18577
11985,20,17889
11987,21,17209
11705,22,16732
11497,23,16173
11490,24,15529
10695,1,12238
9888,2,11430
9362,3,10886
9231,4,11187
9764,5,11776
10534,6,13047
11266,7,13954
11785,8,15434
11851,9,15520
11949,10,15823
11918,11,16011
11921,12,16395
11829,13,16184
11793,14,16165
11774,15,16165
11809,16,15774
11648,17,17362
12022,18,17707
12186,19,18203
11851,20,17534
11779,21,16866
11678,22,16398
11510,23,15847
11098,24,15219
10454,1,12371
9782,2,11546
9380,3,11034
9328,4,11338
9838,5,11906
10726,6,13175
11570,7,14225
11795,8,15691
11924,9,15760
11860,10,16066
12057,11,16257
12111,12,16648
12153,13,16433
11853,14,16414
12016,15,16430
12021,16,16030
12200,17,17628
12300,18,17977
12336,19,18480
12298,20,17802
12158,21,17122
12114,22,16647
11919,23,16091
11728,24,15452
10988,1,12697
10142,2,11871
9668,3,11316
9573,4,11619
10460,5,12212
11360,6,13415
11702,7,14423
11898,8,15921
12007,9,15996
12141,10,16302
11986,11,16500
12096,12,16898
11981,13,16677
12084,14,16657
12107,15,16657
12333,16,16254
12386,17,17892
12393,18,18249
12318,19,18759
12345,20,18069
12013,21,17380
11736,22,16898
11652,23,16333
11557,24,15683
10669,1,12595
9994,2,11766
9598,3,11234
9631,4,11553
10450,5,12119
11330,6,13307
11650,7,14354
11631,8,15829
11662,9,15925
11424,10,16225
11277,11,16422
11442,12,16813
11468,13,16598
11694,14,16578
11740,15,16579
11828,16,16176
11990,17,17805
12223,18,18158
12160,19,18668
12024,20,17979
11527,21,17294
11374,22,16815
11174,23,16255
11151,24,15606
10569,1,12390
10135,2,11622
9825,3,11184
9848,4,11550
10539,5,12004
11201,6,13242
11707,7,14220
11756,8,15737
11775,9,15773
11664,10,16062
11592,11,16258
11669,12,16648
11729,13,16456
11586,14,16415
11698,15,16415
11728,16,16013
11905,17,17628
12002,18,17984
12120,19,18480
12145,20,17803
12037,21,17122
11880,22,16647
11632,23,16092
11426,24,15452
10729,1,12377
10051,2,11572
